player name,def_cluster
Jabari Narcis,B
Ramon Vila,B
Justin Kohajda,B
Alberto Martin,A
Kimbal Mackenzie,A
Sami Eleraky,B
Ricardo Uriz,A
Khadim Sow,B
Kaspars Vecvagars,A
Diego Kapelan,A
Federico Ucles Belmonte,A
Kari Jonsson,A
Bryce Douvier,A
Noah Allen,A
Will Butler,B
Gregory Robert Gantt,A
Matt Stainbrook,B
Jaron Michael Martin,A
Moussa Kone,B
Marinus Lucas N'Guessan,B
Roma Bas Mari,A
Sigtryggur Arnar Bjornsson,A
Lotanna Nwogbo,B
Ander Martinez De La Orden,A
Saul Blanco,A
Nedim Dedovic,A
Facundo Corvalan,A
Michael Carrera Gamboa,B
Joan Pardina,A
Andre Spight,A
Francisco Javier Cardenas Maldonado,A
Jaan Puidet,A
Evan Michael Yates,B
Raven Barber,B
Augustas Peciukevicius,A
Tyler Rawson,A
Miguel Gonzalez,A
Albert Sabat,A
Thomas Schreiner,A
Toledo Zamora Carlos,A
Josep Franch,A
Jaume Sorolla,B
Judicael Romaric Belemene Dzabatou,A
Adams Sola,A
Eric Vila,A
Albert Lafuente Siso,A
Mads Bonde Sturup,A
Ignacio Arroyo Varela,A
Jaume Lobo Martorell,A
Chumi Ortega Soriano,A
Alf Sylvester Berg Pedersen,A
Duje Dukan,B
Julen Olaizola,B
Jose Ignacio Martin Monzon,A
Roberts Blumbergs,B
Jorge Sanz,A
Prince Ali,A
Davis Geks,A
Alec Wintering,A
Jordy Kuiper,A
Johnny Dee,A
Bamba Fall,B
Jaan Puidet,A
Benoit Mbala Mendzana,B
Kaspars Vecvagars,A
Michael Carrera Gamboa,B
Mo Soluade,A
Javier Vega,A
Noah Allen,A
Melwin Jan Pantzar,A
Sean McDonnell,A
Micah Speight,A
Devin Schmidt,A
Mateo Diaz,A
Faggiano,A
Javier Beiran,A
Johan Jerker Lofberg,A
Felipe Dos Anjos,B
Justin Tafari Raffington,B
Nick Ward,B
Mark Hughes,A
Mathieu Kamba,A
Sergio De La Fuente,A
